# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
  87000    2.11e+00  1.91e+00    3.25e-03  3.09e-03    1.09e-01  9.88e-02    3.7e-04
  88000    1.82e+00  1.31e+00    1.23e-02  1.04e-02    9.50e-02  6.85e-02    3.6e-04
  89000    1.16e+00  1.52e+00    8.77e-04  1.98e-03    6.08e-02  7.95e-02    3.6e-04
  90000    1.75e+00  1.52e+00    1.30e-02  7.40e-03    9.26e-02  8.07e-02    3.5e-04
  91000    1.22e+00  1.28e+00    9.81e-04  4.08e-05    6.46e-02  6.81e-02    3.5e-04
  92000    1.91e+00  2.04e+00    3.94e-03  5.66e-03    1.03e-01  1.09e-01    3.5e-04
  93000    2.23e+00  1.59e+00    2.84e-02  2.96e-02    1.17e-01  8.20e-02    3.5e-04
  94000    1.61e+00  1.88e+00    1.02e-03  6.00e-04    8.74e-02  1.02e-01    3.4e-04
  95000    1.62e+00  1.47e+00    8.12e-03  5.99e-03    8.77e-02  7.97e-02    3.4e-04
  96000    1.51e+00  1.91e+00    1.78e-02  1.44e-02    8.19e-02  1.04e-01    3.3e-04
  97000    1.79e+00  2.18e+00    3.80e-02  3.85e-02    9.34e-02  1.16e-01    3.3e-04
  98000    1.92e+00  1.53e+00    7.32e-05  1.06e-03    1.06e-01  8.48e-02    3.2e-04
  99000    1.64e+00  1.69e+00    1.08e-02  8.67e-03    9.08e-02  9.38e-02    3.2e-04
 100000    1.24e+00  1.50e+00    1.05e-02  1.13e-02    6.90e-02  8.39e-02    3.2e-04
 101000    1.21e+00  1.31e+00    1.37e-03  4.25e-03    6.80e-02  7.35e-02    3.2e-04
 102000    1.33e+00  1.35e+00    1.51e-02  1.46e-02    7.45e-02  7.57e-02    3.1e-04
 103000    1.43e+00  1.37e+00    7.78e-04  2.26e-03    8.14e-02  7.80e-02    3.1e-04
 104000    1.08e+00  1.08e+00    1.90e-02  1.92e-02    6.01e-02  6.03e-02    3.0e-04
 105000    1.70e+00  1.71e+00    1.35e-02  1.47e-02    9.69e-02  9.76e-02    3.0e-04
 106000    1.61e+00  1.55e+00    2.89e-02  2.95e-02    9.02e-02  8.63e-02    3.0e-04
 107000    1.57e+00  1.87e+00    9.55e-03  1.28e-02    9.07e-02  1.08e-01    3.0e-04
 108000    1.14e+00  1.87e+00    3.30e-03  2.14e-03    6.73e-02  1.10e-01    2.9e-04
 109000    1.12e+00  8.72e-01    4.82e-03  2.63e-03    6.56e-02  5.13e-02    2.9e-04
 110000    1.16e+00  1.00e+00    3.40e-03  3.64e-03    6.91e-02  5.96e-02    2.8e-04
 111000    1.18e+00  1.45e+00    4.36e-03  1.52e-03    7.00e-02  8.63e-02    2.8e-04
 112000    1.20e+00  1.21e+00    2.21e-03  2.65e-03    7.20e-02  7.28e-02    2.8e-04
 113000    1.37e+00  1.36e+00    7.22e-03  6.36e-03    8.22e-02  8.18e-02    2.8e-04
 114000    1.48e+00  1.45e+00    2.44e-02  2.70e-02    8.72e-02  8.49e-02    2.7e-04
 115000    1.14e+00  9.25e-01    6.57e-03  6.33e-03    6.91e-02  5.60e-02    2.7e-04
 116000    1.19e+00  1.02e+00    8.02e-03  5.67e-03    7.30e-02  6.27e-02    2.6e-04
 117000    1.14e+00  9.71e-01    2.47e-03  2.44e-03    7.02e-02  5.98e-02    2.6e-04
 118000    1.70e+00  1.28e+00    2.49e-03  5.67e-04    1.06e-01  8.00e-02    2.6e-04
 119000    9.59e-01  8.69e-01    7.84e-05  1.21e-04    5.97e-02  5.41e-02    2.6e-04
 120000    1.38e+00  1.14e+00    1.95e-03  1.77e-03    8.71e-02  7.19e-02    2.5e-04
 121000    1.16e+00  1.04e+00    5.29e-03  5.00e-03    7.31e-02  6.54e-02    2.5e-04
 122000    1.43e+00  1.39e+00    4.01e-03  7.04e-03    9.11e-02  8.85e-02    2.5e-04
 123000    1.01e+00  1.06e+00    4.52e-03  5.30e-03    6.40e-02  6.76e-02    2.5e-04
 124000    1.17e+00  1.15e+00    1.50e-03  4.84e-04    7.56e-02  7.41e-02    2.4e-04
 125000    1.13e+00  1.17e+00    1.93e-03  2.62e-03    7.25e-02  7.51e-02    2.4e-04
 126000    9.20e-01  9.90e-01    4.28e-03  1.01e-03    5.98e-02  6.46e-02    2.3e-04
