# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
  79000    1.49e+00  1.81e+00    1.35e-02  1.20e-02    7.31e-02  8.95e-02    4.1e-04
  80000    1.91e+00  1.77e+00    8.29e-03  8.11e-03    9.52e-02  8.86e-02    4.0e-04
  81000    2.35e+00  1.88e+00    9.46e-03  1.12e-02    1.17e-01  9.38e-02    4.0e-04
  82000    1.38e+00  1.65e+00    3.50e-04  1.79e-03    6.99e-02  8.34e-02    3.9e-04
  83000    2.34e+00  2.45e+00    6.72e-03  4.60e-03    1.19e-01  1.24e-01    3.9e-04
  84000    2.43e+00  2.50e+00    2.02e-02  2.18e-02    1.24e-01  1.27e-01    3.8e-04
  85000    2.21e+00  2.02e+00    1.24e-02  1.59e-02    1.13e-01  1.03e-01    3.8e-04
  86000    1.33e+00  1.46e+00    2.53e-04  1.03e-03    6.87e-02  7.58e-02    3.7e-04
  87000    2.49e+00  1.91e+00    1.04e-02  1.16e-02    1.29e-01  9.87e-02    3.7e-04
  88000    1.68e+00  1.51e+00    4.03e-03  1.45e-03    8.83e-02  7.91e-02    3.6e-04
  89000    1.29e+00  1.74e+00    2.35e-04  4.86e-04    6.74e-02  9.14e-02    3.6e-04
  90000    1.97e+00  1.85e+00    4.45e-03  1.43e-03    1.04e-01  9.80e-02    3.5e-04
  91000    1.19e+00  1.49e+00    1.61e-03  1.04e-03    6.29e-02  7.90e-02    3.5e-04
  92000    1.84e+00  2.26e+00    2.82e-03  5.69e-04    9.87e-02  1.21e-01    3.5e-04
  93000    2.31e+00  1.53e+00    2.42e-02  2.59e-02    1.23e-01  7.97e-02    3.5e-04
  94000    1.70e+00  1.96e+00    5.25e-03  3.62e-03    9.20e-02  1.06e-01    3.4e-04
  95000    1.46e+00  1.42e+00    4.45e-03  2.09e-03    7.94e-02  7.71e-02    3.4e-04
  96000    1.61e+00  2.26e+00    6.24e-03  4.80e-03    8.83e-02  1.24e-01    3.3e-04
  97000    1.95e+00  2.21e+00    3.20e-02  3.24e-02    1.04e-01  1.18e-01    3.3e-04
  98000    2.04e+00  1.79e+00    7.43e-03  7.70e-03    1.13e-01  9.91e-02    3.2e-04
  99000    1.72e+00  1.77e+00    5.31e-03  4.34e-03    9.52e-02  9.82e-02    3.2e-04
 100000    1.05e+00  1.42e+00    4.45e-03  5.31e-03    5.86e-02  7.95e-02    3.2e-04
 101000    1.42e+00  1.48e+00    6.87e-03  9.84e-03    7.94e-02  8.27e-02    3.2e-04
 102000    1.56e+00  1.43e+00    1.34e-02  1.04e-02    8.78e-02  8.11e-02    3.1e-04
 103000    1.53e+00  1.65e+00    6.72e-03  4.21e-03    8.65e-02  9.38e-02    3.1e-04
 104000    1.10e+00  1.07e+00    8.27e-03  8.79e-03    6.29e-02  6.12e-02    3.0e-04
 105000    1.78e+00  1.99e+00    1.72e-02  1.73e-02    1.01e-01  1.13e-01    3.0e-04
 106000    1.67e+00  1.56e+00    2.62e-02  2.71e-02    9.42e-02  8.75e-02    3.0e-04
 107000    1.89e+00  2.23e+00    9.72e-03  1.46e-02    1.10e-01  1.29e-01    3.0e-04
 108000    1.48e+00  1.86e+00    9.84e-03  7.56e-03    8.70e-02  1.09e-01    2.9e-04
 109000    1.00e+00  9.31e-01    5.00e-03  1.99e-03    5.88e-02  5.47e-02    2.9e-04
 110000    2.15e+00  1.62e+00    2.27e-03  3.55e-03    1.28e-01  9.61e-02    2.8e-04
 111000    1.19e+00  1.42e+00    3.10e-03  9.43e-04    7.09e-02  8.43e-02    2.8e-04
 112000    1.25e+00  1.30e+00    8.59e-04  1.29e-03    7.52e-02  7.80e-02    2.8e-04
 113000    1.58e+00  1.63e+00    3.49e-03  5.03e-03    9.50e-02  9.82e-02    2.8e-04
 114000    1.65e+00  1.59e+00    2.50e-02  2.57e-02    9.77e-02  9.36e-02    2.7e-04
 115000    1.19e+00  1.17e+00    2.10e-03  2.86e-03    7.26e-02  7.14e-02    2.7e-04
 116000    1.35e+00  1.21e+00    1.03e-02  9.63e-03    8.22e-02  7.42e-02    2.6e-04
 117000    1.16e+00  1.16e+00    4.78e-03  4.37e-03    7.12e-02  7.10e-02    2.6e-04
 118000    1.41e+00  1.44e+00    6.46e-03  4.54e-03    8.78e-02  8.97e-02    2.6e-04
 119000    1.25e+00  1.22e+00    2.27e-03  1.60e-03    7.80e-02  7.59e-02    2.6e-04
 120000    1.48e+00  1.22e+00    8.47e-03  8.68e-03    9.29e-02  7.62e-02    2.5e-04
 121000    1.40e+00  1.22e+00    4.32e-03  2.95e-03    8.80e-02  7.71e-02    2.5e-04
 122000    1.66e+00  1.70e+00    1.29e-03  4.59e-03    1.06e-01  1.09e-01    2.5e-04
 123000    1.12e+00  1.12e+00    4.69e-03  4.90e-03    7.11e-02  7.15e-02    2.5e-04
 124000    1.41e+00  1.27e+00    1.00e-02  8.99e-03    9.01e-02  8.15e-02    2.4e-04
 125000    1.18e+00  1.22e+00    4.07e-03  3.76e-03    7.58e-02  7.84e-02    2.4e-04
 126000    8.95e-01  1.04e+00    2.16e-03  6.22e-04    5.83e-02  6.81e-02    2.3e-04
 127000    1.42e+00  1.14e+00    9.34e-03  1.24e-02    9.23e-02  7.31e-02    2.3e-04
 128000    1.12e+00  1.13e+00    4.96e-03  6.82e-03    7.37e-02  7.42e-02    2.3e-04
 129000    1.50e+00  1.35e+00    9.22e-03  9.88e-03    9.84e-02  8.85e-02    2.3e-04
 130000    1.37e+00  1.66e+00    2.18e-03  4.05e-04    9.13e-02  1.10e-01    2.2e-04
 131000    1.05e+00  1.24e+00    2.44e-03  3.41e-03    6.98e-02  8.28e-02    2.2e-04
 132000    1.00e+00  1.11e+00    3.69e-03  5.16e-03    6.74e-02  7.46e-02    2.2e-04
 133000    1.53e+00  9.91e-01    1.59e-02  1.69e-02    1.02e-01  6.45e-02    2.2e-04
 134000    1.39e+00  1.25e+00    8.32e-03  8.76e-03    9.43e-02  8.45e-02    2.1e-04
 135000    1.45e+00  1.37e+00    1.70e-02  1.47e-02    9.72e-02  9.24e-02    2.1e-04
 136000    9.43e-01  9.60e-01    4.57e-03  4.06e-03    6.49e-02  6.61e-02    2.1e-04
